ontology,ontology_code,ontology_comment,secondary_ontology,secondary_ontology_code,secondary_ontology_comment,snomed_vartype,dataset,name,Significato_it,description,vartype,ETL_type,dimension,details,JSON_values,Multiplicity,Doubts
loinc,53062-6,,,,,Lab_Serum,screening.csv,ASATotal,acido argininosuccinico,argininosuccinic acid,float,float,µmol/L,,,0..1,
loinc,53150-9,,,,,Lab_Serum,screening.csv,Ala,alanina,alanine,float,float,µmol/L,,,0..1,
snomed ct,106221001 : 255216001,,,,,,screening.csv,Allele 1,result of a genetic test that detects the presence or absence of a certain genetic variant (allele) associated with a hereditary disease,,,,,,,??,I need an example to generate the synthetic data
snomed ct,106221001 : 81170007,,,,,,screening.csv,Allele 2,result of a genetic test that detects the presence or absence of a certain genetic variant (allele) associated with a hereditary disease,,,,,,,??,I need an example to generate the synthetic data
loinc,47562-4,,,,,Lab_Serum,screening.csv,Arg,arginina,arginine,float,float,µmol/L,,,0..1,
loinc,42892-0,,,,,Lab_Serum,screening.csv,Cit,citrullina,citrulline,float,float,µmol/L,,,0..1,
loinc,47623-4,,,,,Lab_Serum,screening.csv,Glu,acido glutammico,glutamic acid,float,float,µmol/L,,,0..1,
loinc,47633-3,,,,,Lab_Serum,screening.csv,Gly,glicina,glycine,float,float,µmol/L,,,0..1,
loinc,53152-5,,,,,Lab_Serum,screening.csv,Leu\Ile\Pro-OH,leucina\isoleucina\idrossiprolina,leucine\isoleucine\hydroxyproline,float,float,µmol/L,,,0..1,
loinc,47700-0,,,,,Lab_Serum,screening.csv,MET,metionina,methionine,float,float,µmol/L,,,0..1,
loinc,53155-8,"LOINC code for ornitine is 40829-4, but the 53155-8 (that refers to LOINC ""Asparagine+Ornithine"") was provided by Davide as used by Buzzi",,,,Lab_Serum,screening.csv,Orn,ornitina,ornithine,float,float,µmol/L,,,0..1,
loinc,29573-3,,,,,Lab_Serum,screening.csv,PHE,fenilalanina,phenylalanine,float,float,µmol/L,,,0..1,
loinc,47732-3,,,,,Lab_Serum,screening.csv,Pro,prolina,proline,float,float,µmol/L,,,0..1,
loinc,35571-9,,,,,Lab_Serum,screening.csv,TYR,tirosina,tyrosine,float,float,µmol/L,,,0..1,
loinc,47799-2,,,,,Lab_Serum,screening.csv,Val,valina,valina,float,float,µmol/L,,,0..1,
loinc,1982-8,,,,,Lab_Serum,screening.csv,BTD,human biotinidase activity,human biotinidase activity,float,float,U/dl,,,0..1,
loinc,38481-8,,,,,Lab_Serum,screening.csv,C0,carnitina libera,free carnitine,float,float,µmol/L,,,0..1,
loinc,50157-7,,,,,Lab_Serum,screening.csv,C2,acetilcarnitina,acetylcarnitine,float,float,µmol/L,,,0..1,
loinc,53160-8,,,,,Lab_Serum,screening.csv,C3,propionilcarnitina,propionylcarnitine,float,float,µmol/L,,,0..1,
loinc,67708-8,,,,,Lab_Serum,screening.csv,C3DC\C4OH,malonilcarnitina\3-idrossi-butirilcarnitina,malonylcarnitine\3-hydroxy-butyrylcarnitine,float,float,µmol/L,,,0..1,
loinc,53166-5,"LOINC code provided by Davide 53166-5 refers to ""Butyrylcarnitine+Isobutyrylcarnitine (C4)"".
While LOINC has a code 35655-0 for ""Butyrylcarnitine (C4)""",,,,Lab_Serum,screening.csv,C4,butirilcarnitina,butyrylcarnitine,float,float,µmol/L,,,0..1,
loinc,67709-6,,,,,Lab_Serum,screening.csv,C4DC\C5OH,metilmalonile\3-idrossi-isovalerilcarnitina,methylmalonyl\3-hydroxy-isovalerylcarnitine,float,float,µmol/L,,,0..1,
