Disease,Orphanet,AffectedGenes
Tatton-Brown-Rahman,ORPHA:404443,DNMT3A
ICF1,ORPHA:2268,"CDCA7,DNMT3B,HELLS,UHRF1,ZBTB24"
Sotos 1,ORPHA:821,"APC2,NSD1"
Sotos-like (Luscan-Lumish syndrome),ORPHA:597738,SETD2
Weaver,ORPHA:3447,"EZH2,NSD1,SUZ12"
Kabuki 1,ORPHA:2322,"KDM6A,KMT2D"
Kleefstra,ORPHA:261494,"EHMT1,KMT2C"
Schinzel-Giedon,ORPHA:798,SETBP1
Rubinstein-Taybi 1,ORPHA:783,"CREBBP, EP300"
Rubinstein-Taybi 2,ORPHA:783,"CREBBP, EP300"
SBBYS,ORPHA:3047,KAT6B
Coffin-Lowry,ORPHA:192,RPS6KA3
Kabuki 2,ORPHA:2322,"KDM6A,KMT2D"
Claes-Jensen XL-IDD,ORPHA:85279,KDM5C
Siderius XL-IDD,ORPHA:85287,PHF8
Cornelia de Lange 5,ORPHA:199,"BRD4,HDAC8,NIPBL,RAD21,SMC1A,SMC3"
CSS1,ORPHA:1465,"ARID1A,ARID1B,ARID2,DPF2,SOX11,SOX4,SMARCC2,SMARCA4,SMARCB1,SMARCD1,SMARCE1"
CSS2,ORPHA:1465,"ARID1A,ARID1B,ARID2,DPF2,SOX11,SOX4,SMARCC2,SMARCA4,SMARCB1,SMARCD1,SMARCE1"
CSS,ORPHA:1465,"ARID1A,ARID1B,ARID2,DPF2,SOX11,SOX4,SMARCC2,SMARCA4,SMARCB1,SMARCD1,SMARCE1"
CSS3,ORPHA:1465,"ARID1A,ARID1B,ARID2,DPF2,SOX11,SOX4,SMARCC2,SMARCA4,SMARCB1,SMARCD1,SMARCE1"
CSS4,ORPHA:1465,"ARID1A,ARID1B,ARID2,DPF2,SOX11,SOX4,SMARCC2,SMARCA4,SMARCB1,SMARCD1,SMARCE1"
CSS5,ORPHA:1465,"ARID1A,ARID1B,ARID2,DPF2,SOX11,SOX4,SMARCC2,SMARCA4,SMARCB1,SMARCD1,SMARCE1"
CSS7,ORPHA:1465,"ARID1A,ARID1B,ARID2,DPF2,SOX11,SOX4,SMARCC2,SMARCA4,SMARCB1,SMARCD1,SMARCE1"
CSS8,ORPHA:1465,"ARID1A,ARID1B,ARID2,DPF2,SOX11,SOX4,SMARCC2,SMARCA4,SMARCB1,SMARCD1,SMARCE1"
CSS9,ORPHA:1465,"ARID1A,ARID1B,ARID2,DPF2,SOX11,SOX4,SMARCC2,SMARCA4,SMARCB1,SMARCD1,SMARCE1"
CSS10,ORPHA:1465,"ARID1A,ARID1B,ARID2,DPF2,SOX11,SOX4,SMARCC2,SMARCA4,SMARCB1,SMARCD1,SMARCE1"
CSS11,ORPHA:1465,"ARID1A,ARID1B,ARID2,DPF2,SOX11,SOX4,SMARCC2,SMARCA4,SMARCB1,SMARCD1,SMARCE1"
CSS12,ORPHA:1465,"ARID1A,ARID1B,ARID2,DPF2,SOX11,SOX4,SMARCC2,SMARCA4,SMARCB1,SMARCD1,SMARCE1"
Nicolaides-Baraitser,ORPHA:3051,SMARCA2
Floating Harbor,ORPHA:2044,SRCAP
Schimke immuno-osseous dysplasia,ORPHA:1830,SMARCAL1
ADNP symdrome (ASD+ID+facial dysmorphismsyndrome),ORPHA:404448,ADNP
Alpha-thalassemia-X-linked intellectual disability syndrome,ORPHA:847,ATRX
CHARGE,ORPHA:138,"CHD7,SEMA3E"
